gene,confidence_level,lifespan_extending,lifespan_reducing,lifespan_effect,criteria_count
GHR,highest,True,False,PRO,6
GHRH,high,True,False,PRO,6
SHC1,high,True,True,ANTI,2
POU1F1,high,True,False,PRO,2
PROP1,high,True,False,PRO,3
TP53,moderate,True,True,PRO,9
TERC,low,False,True,ANTI,5
TERT,highest,True,False,PRO,7
ATM,low,False,True,ANTI,5
PLAU,high,True,False,PRO,2
ERCC2,low,False,True,ANTI,5
ERCC8,low,False,False,UNKNOWN,3
WRN,low,False,False,UNKNOWN,4
LMNA,low,False,True,ANTI,6
IGF1R,highest,True,True,PRO,8
TXN,highest,True,True,PRO,8
KL,highest,True,True,PRO,7
E2F1,moderate,True,False,PRO,4
PTPN11,lowest,False,False,UNKNOWN,1
NFKB2,lowest,False,False,UNKNOWN,1
STAT5B,low,False,True,ANTI,3
STAT3,low,False,False,UNKNOWN,3
STAT5A,lowest,False,False,UNKNOWN,1
NRG1,low,False,False,UNKNOWN,4
HDAC3,low,False,False,UNKNOWN,4
GH1,highest,True,True,MIXED,8
IL7R,lowest,False,False,UNKNOWN,1
IGF1,high,True,True,PRO,7
IGF2,moderate,True,False,PRO,3
INS,moderate,True,False,PRO,3
NGF,low,False,False,UNKNOWN,4
IRS1,high,True,True,PRO,7
PTPN1,low,False,True,ANTI,5
IRS2,highest,True,True,PRO,8
AKT1,highest,True,True,PRO,8
PIK3CB,moderate,True,True,PRO,2
NGFR,low,False,False,UNKNOWN,3
HRAS,low,False,True,ANTI,4
MYC,high,True,True,PRO,4
EGFR,low,False,False,UNKNOWN,5
ERBB2,low,False,True,ANTI,3
INSR,highest,True,True,PRO,7
NBN,low,False,False,UNKNOWN,4
JUND,low,False,True,ANTI,5
IL2,low,False,True,ANTI,2
PDGFB,lowest,False,False,UNKNOWN,3
FOS,low,False,True,ANTI,3
PDGFRB,low,False,False,UNKNOWN,3
EPOR,lowest,False,False,UNKNOWN,1
SST,lowest,False,False,UNKNOWN,1
PRKCD,low,False,False,UNKNOWN,4
PPARA,low,False,True,ANTI,5
RET,lowest,False,False,UNKNOWN,3
PLCG2,lowest,False,False,UNKNOWN,1
PEX5,moderate,True,False,PRO,3
TCF3,moderate,True,False,PRO,5
PARP1,low,False,True,ANTI,7
BRCA1,low,False,True,ANTI,5
PIN1,lowest,False,False,UNKNOWN,2
PTEN,highest,True,True,ANTI,9
CREBBP,low,False,True,ANTI,3
HIF1A,moderate,True,False,PRO,5
RPA1,moderate,True,False,PRO,4
BLM,low,False,True,ANTI,4
BCL2,lowest,False,False,UNKNOWN,2
S100B,lowest,False,False,UNKNOWN,3
VCP,moderate,True,False,PRO,2
POLG,low,False,True,ANTI,4
IGFBP3,low,False,False,UNKNOWN,3
HSP90AA1,lowest,False,False,UNKNOWN,2
NR3C1,low,False,True,ANTI,4
EGR1,moderate,True,False,UNKNOWN,5
VEGFA,highest,True,False,PRO,7
BRCA2,lowest,False,False,UNKNOWN,2
TOP2B,lowest,False,False,UNKNOWN,2
NFKB1,low,False,True,ANTI,4
TOP1,lowest,False,False,UNKNOWN,1
RAD51,lowest,False,True,ANTI,4
TNF,low,False,False,UNKNOWN,5
CEBPA,lowest,False,False,UNKNOWN,2
CEBPB,high,True,False,PRO,5
MXI1,lowest,False,False,UNKNOWN,2
TGFB1,moderate,True,True,PRO,5
ERCC6,lowest,False,False,UNKNOWN,3
EP300,lowest,False,False,UNKNOWN,1
PML,low,True,False,PRO,4
GSK3B,moderate,True,True,MIXED,7
HTT,highest,True,False,PRO,4
PRKCA,lowest,False,False,UNKNOWN,3
SSTR3,lowest,False,False,UNKNOWN,1
HELLS,low,False,True,ANTI,4
APOC3,lowest,False,False,UNKNOWN,1
EEF2,moderate,True,True,MIXED,3
ERCC3,lowest,False,False,UNKNOWN,2
TERF1,low,False,False,UNKNOWN,5
PRKDC,low,False,True,ANTI,5
CAT,high,True,False,PRO,3
ERCC5,low,False,True,ANTI,4
AR,low,False,True,ANTI,3
XRCC5,lowest,False,True,ANTI,3
PCNA,lowest,False,False,UNKNOWN,1
FEN1,low,False,True,ANTI,3
FAS,lowest,False,False,UNKNOWN,1
TERF2,lowest,False,True,ANTI,4
XRCC6,moderate,True,True,MIXED,4
POLD1,lowest,False,False,UNKNOWN,2
BAX,lowest,False,False,UNKNOWN,1
RB1,low,False,True,ANTI,6
FOXO3,moderate,True,True,PRO,6
FOXO1,moderate,True,True,PRO,6
HSF1,moderate,True,True,PRO,3
XPA,lowest,False,True,ANTI,2
MSRA,moderate,True,True,PRO,7
RECQL4,lowest,False,False,UNKNOWN,2
SOD2,moderate,True,True,PRO,6
SOD1,moderate,True,True,PRO,7
FOXM1,low,False,False,UNKNOWN,5
COQ7,high,True,False,PRO,4
CACNA1A,lowest,False,False,UNKNOWN,1
LRP2,lowest,False,False,UNKNOWN,2
AIFM1,lowest,False,False,UNKNOWN,1
UCHL1,lowest,False,False,UNKNOWN,1
APP,lowest,False,False,UNKNOWN,2
APOE,low,False,True,ANTI,3
A2M,lowest,False,False,UNKNOWN,1
SNCG,lowest,False,False,UNKNOWN,1
PRDX1,moderate,True,True,PRO,5
PON1,low,False,False,UNKNOWN,3
RELA,low,False,True,ANTI,5
IL6,low,False,False,UNKNOWN,4
RGN,lowest,False,False,UNKNOWN,3
ATP5PO,moderate,True,True,PRO,4
RAD52,low,False,True,ANTI,4
TOP3B,lowest,False,True,ANTI,2
ERCC1,low,False,True,ANTI,6
SIRT1,highest,True,True,PRO,7
HDAC1,moderate,True,True,PRO,8
HSPA9,moderate,True,True,MIXED,2
GPX1,low,False,False,UNKNOWN,5
GSR,moderate,True,True,PRO,6
GSS,low,False,False,UNKNOWN,3
GSTA4,high,True,False,PRO,4
GSTP1,moderate,True,True,ANTI,4
MT-CO1,moderate,True,False,PRO,2
HSPD1,lowest,False,False,UNKNOWN,1
HSPA1A,highest,True,False,PRO,4
HSPA1B,high,True,False,PRO,3
PCMT1,moderate,True,True,PRO,4
MAPK8,moderate,True,True,ANTI,6
YWHAZ,low,False,False,UNKNOWN,2
PTK2,low,False,False,UNKNOWN,2
IL7,low,False,False,UNKNOWN,2
MAPK14,moderate,True,True,PRO,7
FGFR1,lowest,False,False,UNKNOWN,2
SP1,lowest,False,False,UNKNOWN,3
FLT1,low,False,False,UNKNOWN,5
JUN,lowest,False,False,UNKNOWN,2
MAPK9,moderate,True,True,ANTI,6
MAPK3,lowest,False,False,UNKNOWN,1
HMGB1,lowest,False,False,UNKNOWN,2
HMGB2,lowest,False,False,UNKNOWN,3
MAP3K5,low,False,False,UNKNOWN,4
LMNB1,low,False,True,ANTI,6
SDHC,moderate,True,True,ANTI,4
FOXO4,moderate,True,True,PRO,4
PIK3R1,low,False,False,UNKNOWN,2
BSCL2,lowest,False,False,UNKNOWN,1
BMI1,lowest,False,False,UNKNOWN,2
EEF1A1,moderate,True,False,PRO,3
TFAP2A,lowest,False,False,UNKNOWN,2
BDNF,low,False,False,UNKNOWN,2
CREB1,low,False,False,UNKNOWN,4
ATF2,lowest,False,False,UNKNOWN,4
TBP,lowest,False,False,UNKNOWN,1
APEX1,low,False,True,ANTI,2
HBP1,low,False,False,UNKNOWN,4
BUB1B,high,True,False,PRO,2
PTGS2,low,False,True,ANTI,5
HSPA8,lowest,False,False,UNKNOWN,1
SIN3A,lowest,False,False,UNKNOWN,1
TFDP1,lowest,False,False,UNKNOWN,1
DDIT3,lowest,False,False,UNKNOWN,2
POLA1,lowest,False,False,UNKNOWN,1
MAPT,lowest,False,False,UNKNOWN,1
CTGF,low,False,False,UNKNOWN,3
HDAC2,moderate,True,True,PRO,7
MAX,lowest,False,False,UNKNOWN,1
MXD1,moderate,True,True,ANTI,3
MDM2,low,False,False,UNKNOWN,4
SUMO1,moderate,True,True,ANTI,3
HOXB7,lowest,False,False,UNKNOWN,2
HOXC4,lowest,False,False,UNKNOWN,1
JAK2,moderate,True,True,MIXED,6
ESR1,low,False,False,UNKNOWN,4
LEP,lowest,False,False,UNKNOWN,2
LEPR,lowest,False,False,UNKNOWN,1
NFKBIA,highest,True,False,PRO,4
CLU,moderate,True,False,PRO,4
MTOR,high,True,False,PRO,7
